Title,Author,Link,Season / Episode,Category,Description,Site,Recced by
2001,https://www.notion.so/salr323-4708ce63a2c449d1ba6cde4103e4c835,https://archiveofourown.org/works/1139715,"Season 4, s04e16 2010",,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
A Delicate Balance,https://www.notion.so/wackyjacqs-e707b45222c84a1aaf7e6d05e74324fa,https://archiveofourown.org/works/19280383,"Season 8, s08e07 Affinity",Fix-It,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
A Thousand Worlds,https://www.notion.so/tielan-06d4252537e04e998c026de274f970aa,https://archiveofourown.org/works/90357,Season 5,Inter-Reality,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
A Whole Alphabet of Plans,https://www.notion.so/missparker-ea630e8a08604583afbbb2f9e17d3716,https://archiveofourown.org/works/133729,Season 7,,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
After Paradise,https://www.notion.so/muldy-7b1005ce458d4c4fbd6ca516dc303f0b,https://www.fanfiction.net/s/11952709/1/After-Paradise,"Season 6, s06e15 Paradise Lost",,,FF.net,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Aftershocks of Affinity,https://www.notion.so/BrenRenQol-d76664dc427f470885cc82d859e2c16b,https://www.fanfiction.net/s/2541930/1/Aftershocks-of-Affinity,"Season 8, s08e07 Affinity",Fix-It,,FF.net,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
al-Hab Ho — Love Is,https://www.notion.so/Mini_Goat-2d9a433c207840de9885e5a47645602e,https://archiveofourown.org/works/20978024,"Season 2, s02e05 Need",,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
An Open Window,https://www.notion.so/Mini_Goat-2d9a433c207840de9885e5a47645602e,https://archiveofourown.org/works/23752213,"Season 4, s04e06 Window of Opportunity",,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Asters,https://www.notion.so/glindalovesshoes-c5c3601016f442278189e270bae74960,https://archiveofourown.org/works/18730279,,Accidentally Married,,AO3,
Astrophysics for Dummies,https://www.notion.so/jojo6-146d3b36144641a2af9d6dc7d4adf0aa,https://fanfiction.net/s/1096548/1/Astrophysics-for-Dummies,"Season 6, s06e09 Allegiance",Comedy,,FF.net,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Bad Dreams,https://www.notion.so/ShoeQueen-977014cad76842ddbd307d7ec47abd23,https://archiveofourown.org/works/2493851,Season 7,,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Badfic!Pete and the Temple of Doom,https://www.notion.so/Spiletta42-e9c53929d00e4fa788452020f1a72b19,https://archiveofourown.org/works/198333,Season 7,Offworld Action/Adventure,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Balms and Bandages,https://www.notion.so/craterdweller-9aeb12122d9f496d82811013a503f42e,https://archiveofourown.org/works/5309255,"Season 6, s06e01-2 Redemption",,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Barefoot,https://www.notion.so/wackyjacqs-e707b45222c84a1aaf7e6d05e74324fa,https://archiveofourown.org/works/18760267,"Season 6, s06e15 Paradise Lost",,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Beauty,https://www.notion.so/Soleya-542f5da4fca346ac8c90574cf3c360ca,https://archiveofourown.org/works/24550843,Season 9,,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Before the Invitation,https://www.notion.so/yeahsureyoubetcha-48fd4d93c2b8419bba7b1d42a5c11553,https://www.fanfiction.net/s/8965718/1/Before-the-Invitation,"Season 3, pre-Nemesis",,,FF.net,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Being There,https://www.notion.so/polrobin-d57dce1ce6a0441e9cf9abb3095d8cae,https://archiveofourown.org/works/221817,"Season 8, s08e07 Affinity",Canon-Compliant,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
being with you gets me that way (just breathe),https://www.notion.so/professortennant-f93d92928bd9416081d5291d70dfc7d7,https://archiveofourown.org/works/23616367,"Season 7, s07e16 Death Knell",Fix-It,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Birthday Surprise,https://www.notion.so/sjhw_tolerance-3a4593407f714c9380674c8f590a8a9d,https://archiveofourown.org/works/415100,Season 6,Birthday,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Blind Date,https://www.notion.so/crowdedangels-74e563a4e7ab41bd9235477ae2cfef91,https://archiveofourown.org/works/16084616,,Fake Dating/Wedding Date,,AO3,
Blue Moon,https://www.notion.so/splash_the_cat-7712dce0585145b59a434c153dbfe4a7,https://archiveofourown.org/works/1705565,Season 7,,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Body Checked,https://www.notion.so/professortennant-f93d92928bd9416081d5291d70dfc7d7,https://archiveofourown.org/works/15088637,,"Alternate Universe, Hockey AU",,AO3,
Caught in the Act,https://www.notion.so/SkyeRose-75fd892054a449bb8b78f5630171289f,https://www.fanfiction.net/s/9366498/1/Caught-in-the-Act,Season 8,,,FF.net,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Caustic Substances,https://www.notion.so/noenigma-84013454072d4f05a37f8de89c4643f1,https://www.fanfiction.net/s/12900397/1/Caustic-Subtances,Season 4,Offworld Action/Adventure,,FF.net,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Cooperating with Grace,https://www.notion.so/NewDrWhoFan-29fd0efc363d467a9f966425c1dd9a35,https://www.fanfiction.net/s/12940539/1/Cooperating-with-Grace,"Season 7, s07e13 Grace",Fix-It,,FF.net,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Diner Mornings,https://www.notion.so/Howlingdawn-2b5f86e439cf442885bdc2dbf8884003,https://archiveofourown.org/works/24221422,Post-Series,Established Relationship,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Distant Stars,https://www.notion.so/Kat_Rowe-cb12c0132147454a8d76b902c827c1e6,https://archiveofourown.org/works/14350638,Season 4,,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Engaged,https://www.notion.so/jojo6-146d3b36144641a2af9d6dc7d4adf0aa,https://fanfiction.net/s/1024948/1/Engaged,"Season 6, s06e03 Descent",,,FF.net,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Enough,https://www.notion.so/ShoeQueen-977014cad76842ddbd307d7ec47abd23,https://archiveofourown.org/works/5230241,Season 7,,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
First Times and Second Chances,https://www.notion.so/DizzyDrea-88727d5c571b4cf5b9483e4ac57314bd,https://archiveofourown.org/works/19210318,Season 8,Inter-Reality,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Five Nights in Nottingham,https://www.notion.so/bluemoonmaverick-4524a46dd19248fb9b1d7fe3f81988b1,https://archiveofourown.org/works/1481152,Season 8,"Comedy, Offworld Action/Adventure",,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Five Pieces of Furniture,https://www.notion.so/sjhw_tolerance-3a4593407f714c9380674c8f590a8a9d,https://archiveofourown.org/works/415425,Season 6,,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Five Times Sam Gets Married,https://www.notion.so/CoraClavia-f138289ef8d84a8b97aac4b1cceb83ef,https://archiveofourown.org/works/16434491,,Accidentally Married,,AO3,
For the Fishing,https://www.notion.so/sharim28-8e8ee4dc69614074b5a8ab0ee6680f2b,https://archiveofourown.org/works/24247543,"Season 3, s03e22 Nemesis",Cabin Fic,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Forget I Even Asked You,https://www.notion.so/Niknaksstuff-999d2fc69fc44c07a87acec936e60b00,https://archiveofourown.org/works/15022220,Season 8,,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Gift Horse,https://www.notion.so/nicehatgeorgia-f8d9ecd619784b79a8a882725e4d2deb,https://archiveofourown.org/works/24274261,"Season 2, s02e04 The Gamekeeper",,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
Goo Gone,https://www.notion.so/Soleya-542f5da4fca346ac8c90574cf3c360ca,https://archiveofourown.org/works/23712724,Season 9,,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
grow me a garden worthy of you,https://www.notion.so/professortennant-f93d92928bd9416081d5291d70dfc7d7,https://archiveofourown.org/works/14565489,Season 8,,,AO3,https://www.notion.so/starrybouquet-f13e6506969c477fbfd45de1f87c5b09
