Title,,Link,Season,Episode,,Description,Site,,Recced by
2001,salr323,https://archiveofourown.org/works/1139715,"[""Season 4""]","[""s04e16 2010""]",,,AO3,"[""AO3""]",starrybouquet
A Delicate Balance,wackyjacqs,https://archiveofourown.org/works/19280383,"[""Season 8""]","[""s08e07 Affinity""]","[""Fix-It""]",,AO3,"[""AO3""]",starrybouquet
A Thousand Worlds,tielan,https://archiveofourown.org/works/90357,"[""Season 5""]",,"[""Inter-Reality""]",,AO3,"[""AO3""]",starrybouquet
A Whole Alphabet of Plans,missparker,https://archiveofourown.org/works/133729,"[""Season 7""]",,,,AO3,"[""AO3""]",starrybouquet
After Paradise,muldy,https://www.fanfiction.net/s/11952709/1/After-Paradise,"[""Season 6""]","[""s06e15 Paradise Lost""]",,,FF.net,"[""FF.net""]",starrybouquet
Aftershocks of Affinity,BrenRenQol,https://www.fanfiction.net/s/2541930/1/Aftershocks-of-Affinity,"[""Season 8""]","[""s08e07 Affinity""]","[""Fix-It""]",,FF.net,"[""FF.net""]",starrybouquet
al-Hab Ho — Love Is,Mini_Goat,https://archiveofourown.org/works/20978024,"[""Season 2""]","[""s02e05 Need""]",,,AO3,"[""AO3""]",starrybouquet
An Open Window,Mini_Goat,https://archiveofourown.org/works/23752213,"[""Season 4""]","[""s04e06 Window of Opportunity""]",,,AO3,"[""AO3""]",starrybouquet
Asters,glindalovesshoes,https://archiveofourown.org/works/18730279,,,"[""Accidentally Married""]",,AO3,"[""AO3""]",starrybouquet
Astrophysics for Dummies,jojo6,https://fanfiction.net/s/1096548/1/Astrophysics-for-Dummies,"[""Season 6""]","[""s06e09 Allegiance""]","[""Comedy""]",,FF.net,"[""FF.net""]",starrybouquet
Bad Dreams,ShoeQueen,https://archiveofourown.org/works/2493851,"[""Season 7""]",,,,AO3,"[""AO3""]",starrybouquet
